"","x","y","NDVI","Date"
"234",456965,6527155,0.558241784572601,2018-07-31
"235",456975,6527155,0.572033882141113,2018-07-31
"236",456985,6527155,0.591583490371704,2018-07-31
"237",456995,6527155,0.582393407821655,2018-07-31
"238",457005,6527155,0.572506308555603,2018-07-31
"239",457015,6527155,0.55970573425293,2018-07-31
"240",457025,6527155,0.558648109436035,2018-07-31
"241",457035,6527155,0.598843932151794,2018-07-31
"242",457045,6527155,0.606684565544128,2018-07-31
"243",457055,6527155,0.571117341518402,2018-07-31
"244",457065,6527155,0.529157638549805,2018-07-31
"245",457075,6527155,0.561155498027802,2018-07-31
"371",456935,6527145,0.601075291633606,2018-07-31
"372",456945,6527145,0.588003158569336,2018-07-31
"373",456955,6527145,0.569687306880951,2018-07-31
"374",456965,6527145,0.562735617160797,2018-07-31
"377",456995,6527145,0.574920296669006,2018-07-31
"378",457005,6527145,0.569770574569702,2018-07-31
"379",457015,6527145,0.566840529441833,2018-07-31
"380",457025,6527145,0.557336270809174,2018-07-31
"381",457035,6527145,0.588132619857788,2018-07-31
"382",457045,6527145,0.59829580783844,2018-07-31
"383",457055,6527145,0.600510537624359,2018-07-31
"384",457065,6527145,0.57524973154068,2018-07-31
"385",457075,6527145,0.600714087486267,2018-07-31
"386",457085,6527145,0.639344274997711,2018-07-31
"387",457095,6527145,0.67758709192276,2018-07-31
"388",457105,6527145,0.676279544830322,2018-07-31
"508",456905,6527135,0.589637279510498,2018-07-31
"510",456925,6527135,0.590311765670776,2018-07-31
"511",456935,6527135,0.578503668308258,2018-07-31
"512",456945,6527135,0.589027166366577,2018-07-31
"513",456955,6527135,0.596043705940247,2018-07-31
"518",457005,6527135,0.556779444217682,2018-07-31
"519",457015,6527135,0.55304491519928,2018-07-31
"520",457025,6527135,0.551460146903992,2018-07-31
"521",457035,6527135,0.56328558921814,2018-07-31
"522",457045,6527135,0.600727081298828,2018-07-31
"523",457055,6527135,0.632800698280334,2018-07-31
"524",457065,6527135,0.646860063076019,2018-07-31
"525",457075,6527135,0.650130569934845,2018-07-31
"526",457085,6527135,0.654127478599548,2018-07-31
"527",457095,6527135,0.653061211109161,2018-07-31
"528",457105,6527135,0.639528334140778,2018-07-31
"529",457115,6527135,0.641764163970947,2018-07-31
"530",457125,6527135,0.619844615459442,2018-07-31
"650",456925,6527125,0.549503684043884,2018-07-31
"658",457005,6527125,0.540490627288818,2018-07-31
"659",457015,6527125,0.536105036735535,2018-07-31
"660",457025,6527125,0.559530436992645,2018-07-31
"661",457035,6527125,0.574215412139893,2018-07-31
"662",457045,6527125,0.620034515857697,2018-07-31
"663",457055,6527125,0.650397300720215,2018-07-31
"664",457065,6527125,0.645948946475983,2018-07-31
"665",457075,6527125,0.631151974201202,2018-07-31
"666",457085,6527125,0.607221007347107,2018-07-31
"667",457095,6527125,0.596264779567719,2018-07-31
"668",457105,6527125,0.600918769836426,2018-07-31
"669",457115,6527125,0.618176460266113,2018-07-31
"670",457125,6527125,0.599771976470947,2018-07-31
"671",457135,6527125,0.620416522026062,2018-07-31
"672",457145,6527125,0.615474820137024,2018-07-31
"785",456875,6527115,0.536430835723877,2018-07-31
"786",456885,6527115,0.544171452522278,2018-07-31
"787",456895,6527115,0.567693531513214,2018-07-31
"797",456995,6527115,0.536717593669891,2018-07-31
"798",457005,6527115,0.543823659420013,2018-07-31
"799",457015,6527115,0.553833842277527,2018-07-31
"800",457025,6527115,0.599146008491516,2018-07-31
"801",457035,6527115,0.596393525600433,2018-07-31
"802",457045,6527115,0.615240156650543,2018-07-31
"803",457055,6527115,0.638255953788757,2018-07-31
"804",457065,6527115,0.625142872333527,2018-07-31
"805",457075,6527115,0.5925213098526,2018-07-31
"806",457085,6527115,0.575268805027008,2018-07-31
"807",457095,6527115,0.580967843532562,2018-07-31
"808",457105,6527115,0.599342286586761,2018-07-31
"809",457115,6527115,0.598665952682495,2018-07-31
"810",457125,6527115,0.584573030471802,2018-07-31
"811",457135,6527115,0.609273374080658,2018-07-31
"812",457145,6527115,0.604651153087616,2018-07-31
"813",457155,6527115,0.616972506046295,2018-07-31
"814",457165,6527115,0.6360884308815,2018-07-31
"923",456855,6527105,0.485656768083572,2018-07-31
"935",456975,6527105,0.47284060716629,2018-07-31
"936",456985,6527105,0.48241913318634,2018-07-31
"937",456995,6527105,0.499273598194122,2018-07-31
"938",457005,6527105,0.527840793132782,2018-07-31
"939",457015,6527105,0.553833842277527,2018-07-31
"940",457025,6527105,0.581945180892944,2018-07-31
"941",457035,6527105,0.568482279777527,2018-07-31
"942",457045,6527105,0.562583029270172,2018-07-31
"943",457055,6527105,0.581137299537659,2018-07-31
"944",457065,6527105,0.576986312866211,2018-07-31
"945",457075,6527105,0.572778820991516,2018-07-31
"946",457085,6527105,0.560433745384216,2018-07-31
"947",457095,6527105,0.577807128429413,2018-07-31
"948",457105,6527105,0.59548145532608,2018-07-31
"949",457115,6527105,0.595860540866852,2018-07-31
"950",457125,6527105,0.594329357147217,2018-07-31
"951",457135,6527105,0.597184598445892,2018-07-31
"952",457145,6527105,0.594623684883118,2018-07-31
"953",457155,6527105,0.597908198833466,2018-07-31
"954",457165,6527105,0.629539966583252,2018-07-31
"955",457175,6527105,0.619488120079041,2018-07-31
"1062",456845,6527095,0.421252369880676,2018-07-31
"1063",456855,6527095,0.478178381919861,2018-07-31
"1065",456875,6527095,0.473389357328415,2018-07-31
"1074",456965,6527095,0.433118283748627,2018-07-31
"1075",456975,6527095,0.401234567165375,2018-07-31
"1076",456985,6527095,0.435945570468903,2018-07-31
"1077",456995,6527095,0.472736358642578,2018-07-31
"1078",457005,6527095,0.503144681453705,2018-07-31
"1079",457015,6527095,0.541185915470123,2018-07-31
"1080",457025,6527095,0.556280612945557,2018-07-31
"1081",457035,6527095,0.558441579341888,2018-07-31
"1082",457045,6527095,0.54679536819458,2018-07-31
"1083",457055,6527095,0.561383903026581,2018-07-31
"1084",457065,6527095,0.573385536670685,2018-07-31
"1085",457075,6527095,0.572762191295624,2018-07-31
"1086",457085,6527095,0.564221441745758,2018-07-31
"1087",457095,6527095,0.579492747783661,2018-07-31
"1088",457105,6527095,0.576483368873596,2018-07-31
"1089",457115,6527095,0.584864854812622,2018-07-31
"1090",457125,6527095,0.578891277313232,2018-07-31
"1091",457135,6527095,0.575466692447662,2018-07-31
"1092",457145,6527095,0.597777783870697,2018-07-31
"1093",457155,6527095,0.593887746334076,2018-07-31
"1094",457165,6527095,0.606271803379059,2018-07-31
"1095",457175,6527095,0.62609201669693,2018-07-31
"1096",457185,6527095,0.624299645423889,2018-07-31
"1097",457195,6527095,0.594430983066559,2018-07-31
"1194",456765,6527085,0.562358260154724,2018-07-31
"1195",456775,6527085,0.579217791557312,2018-07-31
"1196",456785,6527085,0.561673998832703,2018-07-31
"1197",456795,6527085,0.552288472652435,2018-07-31
"1198",456805,6527085,0.548282384872437,2018-07-31
"1199",456815,6527085,0.512666463851929,2018-07-31
"1200",456825,6527085,0.419795215129852,2018-07-31
"1201",456835,6527085,0.396487981081009,2018-07-31
"1202",456845,6527085,0.420594960451126,2018-07-31
"1203",456855,6527085,0.44788733124733,2018-07-31
"1204",456865,6527085,0.46246525645256,2018-07-31
"1205",456875,6527085,0.443004012107849,2018-07-31
"1206",456885,6527085,0.421310752630234,2018-07-31
"1207",456895,6527085,0.421170175075531,2018-07-31
"1209",456915,6527085,0.436875581741333,2018-07-31
"1213",456955,6527085,0.374517381191254,2018-07-31
"1214",456965,6527085,0.339386075735092,2018-07-31
"1215",456975,6527085,0.346428573131561,2018-07-31
"1216",456985,6527085,0.399149745702744,2018-07-31
"1217",456995,6527085,0.473309606313705,2018-07-31
"1218",457005,6527085,0.52153605222702,2018-07-31
"1219",457015,6527085,0.542296469211578,2018-07-31
"1220",457025,6527085,0.537052035331726,2018-07-31
"1221",457035,6527085,0.551495015621185,2018-07-31
"1222",457045,6527085,0.534038484096527,2018-07-31
"1223",457055,6527085,0.543454349040985,2018-07-31
"1224",457065,6527085,0.551178932189941,2018-07-31
"1225",457075,6527085,0.559136867523193,2018-07-31
"1226",457085,6527085,0.576891362667084,2018-07-31
"1227",457095,6527085,0.585177004337311,2018-07-31
"1228",457105,6527085,0.581496596336365,2018-07-31
"1229",457115,6527085,0.582429230213165,2018-07-31
"1230",457125,6527085,0.560950398445129,2018-07-31
"1231",457135,6527085,0.56553715467453,2018-07-31
"1232",457145,6527085,0.590859651565552,2018-07-31
"1233",457155,6527085,0.593679487705231,2018-07-31
"1234",457165,6527085,0.601838529109955,2018-07-31
"1235",457175,6527085,0.623582780361176,2018-07-31
"1236",457185,6527085,0.614236533641815,2018-07-31
"1237",457195,6527085,0.598333835601807,2018-07-31
"1238",457205,6527085,0.593446612358093,2018-07-31
"1319",456615,6527075,0.566875755786896,2018-07-31
"1320",456625,6527075,0.564738273620605,2018-07-31
"1321",456635,6527075,0.552538990974426,2018-07-31
"1322",456645,6527075,0.540755450725555,2018-07-31
"1323",456655,6527075,0.526665031909943,2018-07-31
"1324",456665,6527075,0.524191498756409,2018-07-31
"1325",456675,6527075,0.556172668933868,2018-07-31
"1326",456685,6527075,0.554273724555969,2018-07-31
"1327",456695,6527075,0.536480665206909,2018-07-31
"1328",456705,6527075,0.533315658569336,2018-07-31
"1329",456715,6527075,0.545925319194794,2018-07-31
"1330",456725,6527075,0.536401689052582,2018-07-31
"1331",456735,6527075,0.534506857395172,2018-07-31
"1332",456745,6527075,0.542809665203094,2018-07-31
"1333",456755,6527075,0.551271319389343,2018-07-31
"1334",456765,6527075,0.559109091758728,2018-07-31
"1335",456775,6527075,0.559072911739349,2018-07-31
"1336",456785,6527075,0.536647021770477,2018-07-31
"1337",456795,6527075,0.529578268527985,2018-07-31
"1338",456805,6527075,0.53167736530304,2018-07-31
"1339",456815,6527075,0.535409212112427,2018-07-31
"1340",456825,6527075,0.472868204116821,2018-07-31
"1341",456835,6527075,0.424361497163773,2018-07-31
"1342",456845,6527075,0.418860703706741,2018-07-31
"1343",456855,6527075,0.425809562206268,2018-07-31
